content,tokens
"Minute 15: flat rate based on size. So for now, yeah, it seems relatively reasonable to have a sort rate per size. And then obviously, these are like nullable columns in the case that they don't have that specific type of spot in the specific garage. And one thing to note here is I'm using decimal. I know there's obviously some issues down the line regarding like floating point errors and calculations and payments. I think decimal is the Postgres type that should be able to handle that. I'm not confident that there's an equivalent MySQL type, but I'm sure there is. So I think that seems like a pretty reasonable approach. I think that's fine. And then let's go with spots. Like we mentioned, we have a spot table that is here. Similar to the other ones, we want ID with a primary key, serial, and what do we want?",183
"Minute 16: the spot. We want the relevant garage, obviously. We want the type of vehicle. And then we want, I guess, the specific status. Like, what is it like? Maybe it's being reserved. Maybe it's like unavailable right now. Like, maybe they're like, I don't know, paving over the spot. Or maybe it's just totally empty. So I think those are pretty reasonable things to have there. Okay. So the garage ID, obviously, it's a foreign key. And I guess it's a secondary key. And then we want the vehicle type. And for now, I'm going to call this an enum. And I'll get into this a little later when we actually define, well, actually, I can get into this now, I guess. There's sort of like a tradeoff there when you end up adding enums, particularly in like a relational database. Just simply because you become more performant because you have all the benefits.",204
"Minute 17: sort of being an int as opposed to like a, you know, like a character string or whatever. But the trade-off there is there's some like flexibility issues down the line. I know in Postgres specifically when you add an enum you can never remove it, like you can never remove the type afterwards. So that's like something to consider when you end up choosing an enum. I think for this specific case, like compact, regular, and large, I don't think those are things that are like ever going to be like totally out of phase in a parking garage type system. So I think it's totally reasonable to add an enum here. But like I mentioned before, I don't think we're going to run into issues at scale here. It would be totally reasonable to be like just a vericare as well for like flexibility and then sort of have that vetting on the application layer side. Yeah, I think that's fine. You can make a call over here on the trade-off that you're willing to go for. For sure. Cool. And then what else? Oh, we had the, I guess, supposedly the optional table, given that we optionally want to be able to create an account. So let's say we have a user's Loss Okay.",266
"Minute 18: table and that should just add all the familiar things. We have the ID with the primary key, it's a serial. And then as we mentioned in the previous endpoints that were optional, maybe an email or I guess, fair care, because we're in Postgres. And then, okay as well. And note that this is probably like something conventional, let's say like a SHA-256 hash, something like that. Okay. And then, yeah, first name, obviously nullable as well, and last name, cool. And then, I guess arguably, if I'm thinking about like the nature of this type of application, the whole reason we wanted an optional users in the first place is just so they could like recurringly reserve a spot. And if we wanna be able to recurringly reserve a spot, we probably also want the type of vehicle. Actually, we might want the type of vehicle in general.",192
"Minute 19: a vehicle table is like a totally reasonable thing to have in this sort of scenario. Yep, I think that's fine. And then let's go with ID as usual. And then, yeah, so optionally like a user ID, that can be a foreign key and int. And then let's say we want their license, seems reasonable. And then, yeah, probably the vehicle type, again, similar to the one that was in the spots table. So yeah, I think that probably covers our requirements here. I mean, obviously I can add more as we go through the problem, but for now, does that seem like a? I think this seems good. Yeah, this looks reasonable. Maybe we can dive into what the high level architecture would look like. Yeah, for sure.",164
"Minute 20: So yeah, we can sort of get into that here. We start us off with the very basics. We want a application UI. It can be either web or mobile. And then we want some sort of backend server. So let's say here we have a web app or mobile UI, depending on the sort of need, or maybe even both. And then yeah, over here, let's go with a sort of a backend server. Yeah, this will talk to this, vice versa. Cool. Now, some of the more, the deeper considerations to have, I guess, here are obviously we're going to have a database. As we mentioned before, the one that I end up leaning towards is sort of like a Postgres DB. So let's just call this DB, and then go here.",168
"Minute 21: here. And so that's just like off the bat. In reality, we can end up doing a number of different adjustments here, I guess. One thing that we can consider is that a potential consideration is splitting the backend server into like a reservation server and a slot server, given the complexity of like allocating slots. That seems probably a little unnecessary here. A bigger thing that might be more reasonable is given that we sort of described up here that the system needs to have a high consistency, we noticed that in this type of problem, we probably want to be able to read more, like way more than write. So if we're going to be reading a lot more than writing, we probably want a number of different read replicas for the DB. So we can actually, let's say separate out this here.",170
"Minute 22: up this way and then can I just copy this? Oh, yes I can. Awesome. So yeah, let's call this a read replica. I'm going to read replica. So yeah, the server would kind of work like this. It would essentially go here and one thing to have or that would be prudent to have in this sort of scenario. Given that we're probably hosting like a number of read replicas, we probably want some form of load balancer in between just to sort of allocate where the individual calls are going. It would probably be prudent for this type of problem to shard that based on location. I know that we mentioned earlier like the garage might have like a zip code. That seems like a pretty reasonable way to approach that. Yeah. Let's add this here.",166
"Minute 23: From here we can go up here, call this read. Call this read. This one will be right. Yeah, and then what else? Oh, we mentioned, oh, go for it. I was gonna ask, do you anticipate any trade-offs based on this decision? Yeah, well, not specifically the read replica portion. One thing that I guess is likely going to end up being a specific trade-off, as I was sort of pathing towards, we mentioned that this type of thing sort of wants a high consistency. So I think it's pretty reasonable to take a strong consistency approach versus an eventual consistency approach, just simply because if we think about the nature of someone using this application, including online hawking, I guess, the route that everyone takes",160
"Minute 24: from a customer perspective, it's likely not the case that they're going to be super frequently reserving things, like probably not more than like even twice a day at most. And that already seems a little excessive. So in reality, they're probably very willing to wait or deal with like a higher latency, which is I guess the trade-off you make when you have a strong consistency versus like eventual consistency where you like increase the performance, or I guess the execution on the customer side, like in the customer's view, but the trade-off you make there is like, you might not have the exact data. We want exact data because we want them to be able to know that the spot that they're reserving is like specifically the spot that they'll get. And the way that that's tackled in this sort of setup is you basically read lock. That's like an initial approach that a lot of people use. Seems pretty reasonable as well, especially for something that's not necessarily at an aggressive scale. I mean, the sense that when someone's writing.",221
"Minute 25: to the Postgres DB, you read lock the replicas. That way they sort of wait for the result to finish. That way you know the data is as up to date as possible. One potential consideration in the future of that might be, depending on how you want to split up and shard your database, you might want to consider the logic of read locking based on location. Because if we think about it, why would we read lock, I don't know, something in Wisconsin if someone's reserving something in California. But that's a little more of a complex decision down the line. OK. Yeah, I think that would be a good next step. Cool. And then, yeah, I think that's one other thing. We mentioned up here that we have a payment, and it's likely to be using an existing third party payment. So yeah, we just draw that in here. Let's say it's like a.",196
"Minute 26: So place that here. I've got here both ways. Don't really know how to do this. Oh, there we go. Cool. Nice. Okay. I think this is pretty good and a good place to stop. What did you think about that, Tim? It's sort of an interesting, weird problem, I guess. I think a lot of these types of problems end up actually having issues at scale. So I think I was lucky in the sense that I think it's reasonable to say with some like back of the envelope for me estimation that this sort of problem doesn't tackle that. And that made it a lot more of, I guess, how do we design the data problem? Got it. Yeah. Now, I think some things that you did really well. So clarification questions at the beginning were very, they were well drawn out by you. And that made the scope of the question a lot more.",192
"Minute 27: a lot more manageable as well for you to tackle and to just understand exactly what the requirements were. And I think one thing that I saw you do consistently and that was really good was providing your opinions. So explaining what the problem was, why you were doing something, what your opinion on it was. Like one example was just separating the payment calculation from the public endpoint. That was a small example where you suggested that you were gonna separate it and you provided a reason for that. And I think that you did that consistently throughout, which just shows that you would be someone who people would enjoy working with as an engineer because you have opinions on things. And it's conversational too. It adds flavor to the question that you're doing. It doesn't sound very robotic and rehearsed and just adds some commentary for the interviewer to be able to interact with.",177
"Minute 28: with as well. And I like that towards the end you called out that you weren't super confident on the use of decimal as the type. Things like that I think are good for interviewees to do. Just if there is something that people aren't super confident about, call it out. It's better to just throw it out there than kind of go into it blind because then at least the interviewer knows exactly where you stand and what you might need help with or hence with at some point in the question. What advice do you think you'd give someone if they were to receive this question? Yeah, I mean I think a lot of people approach these types of problems very, sort of I guess almost too strictly formulaically. And I think that's good to an extent. I think a lot of the reason for that is like algo problems are like another metric that people are generally evaluated on and that honestly probably doesn't have too much bearance on the actual job.",201
